new_site_id,site_id,lat_wgs84,lon_wgs84,site_name,country,continent,DO_index,DO_ts_availability,DO_ts_continuity,DO_nobs_1950,DO_nobs,DO_min,DO_max,DO_mean,DO_median,DO_std,DO_iqr,DO_tstart,DO_tend,DO_tyear,DO_tdata,DO_tgap,DO_pct_min,DO_pct_max,DO_pct_mean,DO_pct_median,DO_pct_std,DO_pct_iqr,WT_index,WT_ts_availability,WT_ts_continuity,WT_nobs_1950,WT_nobs,WT_min,WT_max,WT_mean,WT_median,WT_std,WT_iqr,WT_tstart,WT_tend,WT_tyear,WT_tdata,WT_tgap,WT_pct_min,WT_pct_max,WT_pct_mean,WT_pct_median,WT_pct_std,WT_pct_iqr
g1,203002,-22.53977252,-44.17708224,NaN,Brazil,South America,DO_6753,0.66,0.17,119,119,2,10,7.539495798,7.6,0.911156695,1.2,1979,1990,12,12,0,0.00546,0.0738,0.0271,0.026,0.0172,0.00956,WT_13017,0.62,0.23,97,97,15,29,22.05463918,22,2.640579585,4,1979,1988,10,9,1,0.00273,0.0738,0.0294,0.0273,0.0192,0.0137
g2,203003,-33.37291235,-70.44791273,NaN,Chile,South America,DO_6754,0.83,0.32,125,125,9,14.9,11.656,11.6,1.411610839,1.8,1979,1988,10,10,0,0.0137,0.0683,0.0342,0.0287,0.018,0.0178,WT_13018,0.89,0.36,134,134,2.5,18.8,10.36716418,10.55,3.164031314,4.575,1979,1988,10,10,0,0.0164,0.071,0.0366,0.0314,0.0173,0.0157
g3,203004,-33.59805556,-70.37722222,NaN,Chile,South America,DO_6755,0.82,0.32,122,122,9.4,16.8,12.38934426,12.15,1.468389086,2.575,1979,1988,10,10,0,0.0137,0.0656,0.0333,0.0273,0.0175,0.0205,WT_13019,0.87,0.36,131,131,4,15,9.526717557,10,2.20345269,3,1979,1988,10,10,0,0.0164,0.071,0.0358,0.0301,0.0178,0.0184
g4,203007,8.273191278,-81.86463168,NaN,Panama,North America,DO_6788,0.77,0.11,70,70,0.851,9.71,8.050585714,8.13,0.998854249,0.565,1979,1985,7,7,0,0.0191,0.0301,0.0273,0.0301,0.00417,0.0041,WT_14870,0.76,0.11,69,69,21.2,28,24.03188406,24,1.297338084,1.7,1979,1985,7,7,0,0.0219,0.0301,0.0269,0.0273,0.00332,0.00546
g5,203008,9.232665147,-78.6892956,NaN,Panama,North America,DO_6757,0.74,0.13,66,66,3.2,9.52,8.045909091,8,0.805280605,0.7975,1979,1985,7,7,0,0.0164,0.0328,0.0258,0.0273,0.00587,0.00546,WT_13021,0.71,0.13,63,63,22.5,27,24.67301587,24.4,0.896085816,1.25,1979,1985,7,7,0,0.0164,0.0301,0.0246,0.0273,0.00546,0.0082
g6,203013,-0.302004803,-78.46031086,NaN,Ecuador,South America,DO_6761,0.48,0.08,44,44,6.3,9.3,7.775,7.8,0.735835232,0.725,1979,1986,8,7,1,0.00546,0.0328,0.0172,0.0164,0.00929,0.0109,WT_13025,0.49,0.08,45,45,12,20,16.26666667,16.5,1.7920278,2.5,1979,1986,8,7,1,0.0082,0.0328,0.0176,0.0164,0.00876,0.0109
g7,301205,51.86465551,6.067652385,RHEIN at BIMMEN,Germany,Europe,DO_4163,0.96,0.61,1059,1059,1,13.1,8.237809254,8.5,2.329261044,3.21,1966,2001,36,36,0,0.0219,0.142,0.0804,0.071,0.0339,0.028,WT_5555,0.9,0.59,900,900,0.9,25.6,13.21631111,13.1,5.990228171,10.8125,1966,2001,36,35,1,0.00273,0.142,0.0703,0.071,0.0307,0.0109
g8,301207,48.923,8.169,RHEIN at KARLSRUHE,Germany,Europe,DO_4164,0.99,0.74,308,308,5.8,14.2,9.877597403,9.8,1.661143813,2.725,1991,2002,12,12,0,0.0328,0.137,0.0701,0.0683,0.0238,0.00546,WT_5556,1,0.83,308,308,2.4,24.8,12.99675325,12.9,5.888092316,10.625,1991,2002,12,12,0,0.0355,0.134,0.0701,0.0683,0.0227,0.00546
g9,301213,50.34796743,7.597856284,RHEIN at KOBLENZ,Germany,Europe,DO_4165,0.99,0.55,1162,1162,3.5,19.7,8.858347676,8.7,1.814609348,2.8,1976,2002,27,27,0,0.0574,0.213,0.118,0.139,0.0441,0.071,WT_5557,0.99,0.55,1144,1144,1.7,26.7,13.95192308,13.8,6.071808251,11.175,1976,2002,27,27,0,0.0574,0.213,0.116,0.134,0.0486,0.071
g10,301252,47.65673682,8.877890805,RHEIN at OEHNINGEN,Germany,Europe,DO_4166,1,1,290,290,4.5,15.9,11.14231034,11.25,1.470863212,1.975,1991,2002,12,12,0,0.0355,0.071,0.066,0.0697,0.01,0.00546,WT_5558,1,1,292,292,2,25.4,11.97294521,11.15,6.417040316,11.9,1991,2002,12,12,0,0.0355,0.071,0.0665,0.071,0.0101,0.00342
g11,301269,49.0355692,8.302454245,RHEIN at RHEIN-KM 362.3,Germany,Europe,DO_4167,0.82,0.32,98,98,5.3,12.5,8.315306122,8.2,1.547485625,2.25,1966,1975,10,10,0,0.0164,0.0355,0.0268,0.0246,0.00667,0.0109,WT_5559,0.82,0.32,97,97,1.6,23.3,12.17216495,12.5,5.775915192,10.2,1966,1975,10,10,0,0.0164,0.0355,0.0265,0.0246,0.00682,0.0116
g12,301270,49.50263033,8.439694656,RHEIN at RHEIN-KM 428.1,Germany,Europe,DO_4168,0.76,0.09,60,60,4,12.4,7.983333333,7.95,1.693873974,2.15,1966,1972,7,7,0,0.0164,0.0273,0.0234,0.0246,0.00348,0.00137,WT_5560,0.75,0.09,59,59,1,22.3,11.92033898,12.5,6.035606408,10.95,1966,1972,7,7,0,0.0164,0.0273,0.023,0.0246,0.00348,0.00273
g13,301271,49.9893,8.2979,RHEIN at RHEIN-KM 496.0,Germany,Europe,DO_4169,0.75,0.06,86,86,0.9,11.5,5.505813953,5.45,2.458806724,3.45,1966,1975,10,10,0,0.0164,0.0273,0.0235,0.0246,0.00294,0.00205,WT_5561,0.75,0.06,86,86,1,22.3,11.54069767,11.5,6.152653715,10.975,1966,1975,10,10,0,0.0164,0.0273,0.0235,0.0246,0.00294,0.00205
