Year Month Day Hour temperature total_precipitation pressure wind_u wind_v longwave_radiation convective_fraction potential_energy
2000 1 1 0 -8.1 1.0 73552.3 3.8 2.6 228.4 0.0 1.7
2000 1 2 0 -12.1 1.6 73404.4 4.3 1.5 202.6 0.0 22.8
2000 1 3 0 -16.0 0.6 74053.7 4.2 0.9 185.0 0.0 18.0
2000 1 4 0 -11.7 4.1 74303.4 6.0 4.7 226.1 0.0 0.2
2000 1 5 0 -9.6 4.8 73944.8 7.2 -0.3 232.7 0.0 28.2
2000 1 6 0 -13.8 0.1 74551.9 5.5 1.2 176.1 0.0 2.6
2000 1 7 0 -12.4 0.6 74528.8 4.5 3.4 173.5 0.0 0.0
2000 1 8 0 -11.5 2.0 74021.9 5.5 4.0 200.6 0.0 0.6
2000 1 9 0 -10.2 3.2 73354.7 6.9 2.5 221.3 0.0 5.6
2000 1 10 0 -11.0 6.0 73040.5 10.7 1.7 221.2 0.1 45.5
2000 1 11 0 -6.0 16.0 72892.1 8.5 6.2 248.1 0.1 36.4
2000 1 12 0 -8.9 25.0 73395.8 9.8 3.5 211.8 0.2 45.9
2000 1 13 0 -12.5 11.4 74499.4 2.8 4.1 196.2 0.0 0.0
2000 1 14 0 -4.0 2.8 74605.6 4.6 6.4 248.7 0.0 0.0
2000 1 15 0 -3.4 0.6 74388.1 4.1 4.8 247.6 0.0 0.2
2000 1 16 0 -2.2 5.0 74214.6 2.6 5.5 269.8 0.0 4.9
2000 1 17 0 -5.2 3.0 74447.3 5.8 3.7 201.2 0.1 11.8
2000 1 18 0 -6.4 2.4 74590.1 3.1 2.6 208.1 0.0 0.1
2000 1 19 0 -6.7 4.9 74307.0 5.1 0.5 211.3 0.0 1.3
2000 1 20 0 -7.0 1.3 74325.9 4.2 2.9 218.6 0.0 3.9
2000 1 21 0 -5.7 1.2 73916.2 4.9 1.8 223.9 0.0 21.7
2000 1 22 0 -9.6 0.7 73854.6 4.9 0.7 219.4 0.0 20.0
2000 1 23 0 -11.0 2.7 74140.4 5.3 1.1 191.1 0.0 7.1
2000 1 24 0 -8.4 2.7 74205.7 3.4 3.0 225.7 0.0 0.5
2000 1 25 0 -6.8 2.3 74125.1 0.9 2.7 229.5 0.0 0.2
2000 1 26 0 -6.0 1.3 73849.3 3.5 0.9 238.7 0.0 13.8
2000 1 27 0 -11.9 1.6 74117.7 3.4 -0.8 212.8 0.0 1.7
2000 1 28 0 -12.8 0.7 74399.4 2.7 -0.9 214.0 0.0 0.0
2000 1 29 0 -15.8 0.2 74479.3 1.9 1.1 146.1 0.0 0.0
2000 1 30 0 -14.5 0.6 74175.4 0.1 1.9 142.8 0.0 0.0
