Year Month Day Hour temperature total_precipitation pressure wind_u wind_v longwave_radiation convective_fraction potential_energy
2000 1 1 0 7.32 0.00 83813.07 2.62 2.29 213.00 0.00 0.00
2000 1 1 1 6.66 0.00 83829.55 2.88 2.34 213.01 0.00 0.00
2000 1 1 2 6.00 0.00 83846.12 3.14 2.38 213.01 0.00 0.00
2000 1 1 3 5.34 0.00 83862.62 3.41 2.43 219.50 0.00 0.00
2000 1 1 4 4.87 0.00 83794.84 3.48 2.39 219.50 0.00 0.00
2000 1 1 5 4.40 0.00 83727.01 3.56 2.36 219.50 0.00 0.00
2000 1 1 6 3.94 0.00 83659.18 3.64 2.32 236.51 0.00 0.00
2000 1 1 7 3.80 0.00 83655.93 3.73 2.15 236.51 0.00 0.00
2000 1 1 8 3.65 0.00 83652.67 3.83 1.98 236.51 0.00 0.00
2000 1 1 9 3.51 0.00 83649.40 3.93 1.82 260.83 0.00 0.00
2000 1 1 10 3.55 0.00 83599.94 3.90 1.90 260.83 0.00 0.00
2000 1 1 11 3.59 0.00 83550.43 3.87 1.98 260.83 0.00 0.00
2000 1 1 12 3.62 0.00 83500.96 3.84 2.06 271.15 0.00 0.00
2000 1 1 13 4.18 0.00 83503.49 4.00 2.19 271.15 0.00 0.00
2000 1 1 14 4.73 0.00 83506.00 4.16 2.32 271.14 0.00 0.00
2000 1 1 15 5.29 0.00 83508.52 4.31 2.45 252.43 0.00 0.00
2000 1 1 16 7.04 0.03 83450.77 4.34 2.93 252.41 0.00 0.00
2000 1 1 17 8.80 0.00 83393.07 4.37 3.41 252.40 0.00 0.00
2000 1 1 18 10.56 0.00 83335.40 4.41 3.88 257.37 0.00 0.00
2000 1 1 19 11.23 0.00 83254.57 5.34 5.21 257.37 0.00 6.94
2000 1 1 20 11.91 0.05 83173.79 6.27 6.53 257.37 0.00 13.88
2000 1 1 21 12.58 0.00 83093.01 7.20 7.85 268.23 0.00 20.82
2000 1 1 22 11.40 0.00 83105.84 8.04 7.09 268.23 0.00 13.88
2000 1 1 23 10.22 0.05 83118.68 8.89 6.33 268.24 0.00 6.94
2000 1 2 0 9.04 0.00 83131.56 9.73 5.57 224.04 0.00 0.00
2000 1 2 1 7.90 0.00 83236.15 9.71 4.91 224.05 0.00 0.00
2000 1 2 2 6.75 0.00 83340.69 9.69 4.26 224.06 0.00 0.00
2000 1 2 3 5.60 0.00 83445.29 9.68 3.61 202.70 0.00 0.00
2000 1 2 4 4.46 0.00 83433.16 8.69 3.18 202.70 0.00 0.00
2000 1 2 5 3.31 0.01 83421.11 7.70 2.76 202.71 0.00 0.00
2000 1 2 6 2.16 0.00 83409.04 6.71 2.33 197.92 0.00 0.00
2000 1 2 7 1.39 0.00 83469.31 5.90 2.02 197.92 0.00 0.00
2000 1 2 8 0.61 0.00 83529.54 5.09 1.71 197.92 0.00 0.00
2000 1 2 9 -0.17 0.00 83589.82 4.28 1.40 197.73 0.00 0.00
2000 1 2 10 -0.59 0.00 83555.96 4.15 1.05 197.73 0.00 0.00
2000 1 2 11 -1.01 0.00 83522.08 4.03 0.70 197.73 0.00 0.00
2000 1 2 12 -1.43 0.00 83488.20 3.91 0.35 198.38 0.00 0.00
2000 1 2 13 -1.18 0.00 83488.23 3.66 0.44 198.38 0.00 0.00
2000 1 2 14 -0.94 0.00 83488.31 3.41 0.54 198.38 0.00 0.00
2000 1 2 15 -0.70 0.00 83488.40 3.17 0.63 204.28 0.00 0.00
2000 1 2 16 1.19 0.00 83457.56 3.07 0.96 204.27 0.00 0.00
2000 1 2 17 3.08 0.00 83426.85 2.97 1.28 204.26 0.00 0.00
2000 1 2 18 4.97 0.00 83396.18 2.88 1.61 222.30 0.00 0.00
2000 1 2 19 5.77 0.00 83344.35 2.91 2.39 222.30 0.00 0.00
2000 1 2 20 6.57 0.00 83292.58 2.93 3.17 222.30 0.00 0.01
2000 1 2 21 7.37 0.00 83240.82 2.96 3.95 250.60 0.00 0.01
2000 1 2 22 6.40 0.00 83203.94 2.87 3.65 250.60 0.00 3.12
2000 1 2 23 5.44 0.00 83167.02 2.77 3.35 250.61 0.00 6.23
2000 1 3 0 4.48 0.00 83130.12 2.67 3.05 233.54 0.00 9.34
2000 1 3 1 3.86 0.00 83120.29 3.09 2.94 233.54 0.00 8.63
2000 1 3 2 3.25 0.00 83110.43 3.50 2.82 233.55 0.00 7.92
2000 1 3 3 2.64 0.00 83100.58 3.91 2.71 226.78 0.00 7.21
2000 1 3 4 1.94 0.00 83100.37 3.92 2.18 226.79 0.00 4.80
2000 1 3 5 1.24 0.00 83100.18 3.94 1.64 226.79 0.00 2.40
2000 1 3 6 0.53 0.00 83100.00 3.95 1.11 214.14 0.00 0.00
2000 1 3 7 -0.15 0.00 83110.37 3.93 0.94 214.14 0.00 0.00
2000 1 3 8 -0.83 0.00 83120.77 3.91 0.77 214.14 0.00 0.00
2000 1 3 9 -1.52 0.00 83131.20 3.89 0.60 203.35 0.00 0.00
