system:index,Meann
A20000101_0000,"{temperature=-6.715771046745986, total_precipitation=0.13502711709970458, pressure=73877.86967197729, wind_u=2.7551503437612195, wind_v=3.134989921859901, longwave_radiation=244.85199712842032, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.05746371317337165, shortwave_radiation=0.0}"
A20000101_0100,"{temperature=-7.0472308584366266, total_precipitation=0.6096853218102001, pressure=73798.6885432256, wind_u=3.0332614518044037, wind_v=3.338238120219787, longwave_radiation=244.85326642184629, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.015362951100312012, shortwave_radiation=0.0}"
A20000101_0200,"{temperature=-7.379351685672455, total_precipitation=0.0036777148852748685, pressure=73719.52282767766, wind_u=3.3117789988127138, wind_v=3.540604688405997, longwave_radiation=244.85408813540616, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.015362951100312012, shortwave_radiation=0.0}"
A20000101_0300,"{temperature=-7.710758759698465, total_precipitation=0.01694388546815033, pressure=73640.35688240336, wind_u=3.5905917110749117, wind_v=3.743569042162522, longwave_radiation=240.57682138222413, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.015362951100312012, shortwave_radiation=0.0}"
A20000101_0400,"{temperature=-7.855978131816529, total_precipitation=0.0, pressure=73662.29707816773, wind_u=3.648589888726292, wind_v=3.4504682883728663, longwave_radiation=240.57738934754414, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.012965430598890024, shortwave_radiation=0.0}"
A20000101_0500,"{temperature=-8.000866996162003, total_precipitation=1.5863820857608312E-4, pressure=73684.28226495849, wind_u=3.7064461440759886, wind_v=3.1580349007372233, longwave_radiation=240.57739017588446, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.012965430598890024, shortwave_radiation=0.0}"
A20000101_0600,"{temperature=-8.145461247480446, total_precipitation=0.0, pressure=73706.2215948312, wind_u=3.7645611177071534, wind_v=2.865022503244334, longwave_radiation=242.06648866554403, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.012965430598890024, shortwave_radiation=0.0}"
A20000101_0700,"{temperature=-8.259251456498305, total_precipitation=0.031657403981555636, pressure=73686.63012535551, wind_u=3.9456633625093205, wind_v=2.871664687853772, longwave_radiation=242.06643151006452, convective_fraction=0.0, potential_energy=0.48702609271888897, potential_evaporation=0.010515117210149938, shortwave_radiation=0.0}"
A20000101_0800,"{temperature=-8.372968771571339, total_precipitation=0.0, pressure=73666.9992685756, wind_u=4.12637352624458, wind_v=2.8780224756329913, longwave_radiation=242.06717011348283, convective_fraction=0.0, potential_energy=0.9741484938012536, potential_evaporation=0.010515117210149938, shortwave_radiation=0.0}"
A20000101_0900,"{temperature=-8.486532567578745, total_precipitation=0.034916969931247765, pressure=73647.39977828093, wind_u=4.306943148245304, wind_v=2.884835022227133, longwave_radiation=247.7076063726982, convective_fraction=0.0, potential_energy=1.4608794764889421, potential_evaporation=0.010515117210149938, shortwave_radiation=0.0}"
A20000101_1000,"{temperature=-8.545137366430115, total_precipitation=0.0, pressure=73624.17820526278, wind_u=4.216447524643127, wind_v=2.4567766518485796, longwave_radiation=247.70765690145527, convective_fraction=0.0, potential_energy=1.955693734986334, potential_evaporation=0.008358425601236993, shortwave_radiation=0.0}"
A20000101_1100,"{temperature=-8.603445619460459, total_precipitation=0.0, pressure=73601.01106165614, wind_u=4.12660380484303, wind_v=2.02940000552227, longwave_radiation=247.7072546041916, convective_fraction=0.0, potential_energy=2.450295496590001, potential_evaporation=0.008358425601236993, shortwave_radiation=0.0}"
