Year Month Day Hour temperature total_precipitation pressure wind_u wind_v longwave_radiation convective_fraction potential_energy
2000 1 1 0 6.6 0.1 83524.4 4.5 3.3 247.4 0.0 2.6
2000 1 2 0 3.2 0.0 83398.6 5.1 2.3 212.2 0.0 0.4
2000 1 3 0 0.1 0.1 83378.4 3.3 -2.5 232.3 0.0 3.8
2000 1 4 0 -3.5 0.0 84697.3 3.0 -0.9 185.3 0.0 1.0
2000 1 5 0 1.5 0.0 83840.7 2.8 0.9 210.8 0.0 0.0
2000 1 6 0 0.2 0.0 84389.6 -2.7 -1.2 226.6 0.0 0.1
2000 1 7 0 -0.5 0.0 84823.7 1.8 2.1 193.8 0.0 0.0
2000 1 8 0 0.6 0.0 83932.6 3.2 0.9 192.0 0.0 0.0
2000 1 9 0 1.2 0.0 83353.6 4.9 -1.2 197.3 0.0 0.0
2000 1 10 0 1.4 0.0 83509.7 4.2 0.7 200.0 0.0 0.0
2000 1 11 0 4.7 0.0 83721.8 3.7 1.8 217.3 0.0 0.0
2000 1 12 0 7.9 0.0 83749.7 4.0 1.7 224.2 0.0 0.0
2000 1 13 0 6.4 0.0 84848.5 0.1 2.2 224.2 0.0 0.0
2000 1 14 0 4.2 0.0 85188.4 1.9 3.7 216.0 0.0 0.0
2000 1 15 0 8.4 0.0 84532.0 3.8 1.7 234.2 0.0 0.0
2000 1 16 0 11.2 0.0 84616.3 2.4 0.1 247.7 0.0 0.0
2000 1 17 0 11.5 0.2 84508.7 2.7 1.6 254.3 0.0 0.0
2000 1 18 0 12.1 0.0 84411.6 2.8 0.3 281.6 0.0 0.0
2000 1 19 0 11.9 0.0 84038.5 2.6 0.6 254.2 0.0 0.0
2000 1 20 0 6.9 0.0 84291.0 -0.2 2.2 242.3 0.0 0.0
2000 1 21 0 8.8 0.0 83686.4 2.8 1.5 252.2 0.0 0.0
2000 1 22 0 8.2 0.0 83444.6 3.8 0.1 235.2 0.0 0.1
2000 1 23 0 5.4 0.0 83934.5 2.5 -1.2 211.9 0.0 0.2
2000 1 24 0 4.3 0.0 84148.9 1.7 1.8 222.7 0.0 0.0
2000 1 25 0 5.0 0.0 84156.0 -1.8 0.7 259.7 0.0 0.0
2000 1 26 0 3.2 0.4 83571.5 0.4 3.6 277.6 0.0 2.7
2000 1 27 0 -1.8 2.8 83717.0 -2.3 0.0 250.4 0.1 33.8
2000 1 28 0 -2.7 0.4 84301.5 -1.0 0.7 269.8 0.0 3.4
2000 1 29 0 -2.4 0.2 84334.5 0.5 0.7 217.8 0.0 1.1
2000 1 30 0 -1.0 0.0 84259.6 0.1 1.4 195.8 0.0 0.0
2000 1 31 0 0.9 0.0 83974.1 0.2 0.7 218.6 0.0 0.0
