Year Month Day Hour temperature total_precipitation pressure wind_u wind_v longwave_radiation convective_fraction potential_energy
2000 1 1 0 3.88 0.00 89550.17 1.99 -1.00 226.67 0.00 0.00
2000 1 1 1 3.28 0.00 89598.74 1.15 -1.27 226.67 0.00 0.00
2000 1 1 2 2.68 0.00 89647.34 0.32 -1.55 226.67 0.00 0.00
2000 1 1 3 2.08 0.00 89695.91 -0.51 -1.82 224.82 0.00 0.00
2000 1 1 4 1.44 0.00 89638.11 -1.08 -1.55 224.82 0.00 0.00
2000 1 1 5 0.80 0.00 89580.34 -1.64 -1.28 224.82 0.00 0.00
2000 1 1 6 0.16 0.00 89522.54 -2.20 -1.01 223.10 0.00 0.00
2000 1 1 7 -0.16 0.00 89480.23 -2.15 -0.30 223.10 0.00 0.00
2000 1 1 8 -0.49 0.00 89437.90 -2.09 0.42 223.10 0.00 0.00
2000 1 1 9 -0.81 0.00 89395.57 -2.03 1.13 230.47 0.00 0.00
2000 1 1 10 -1.08 0.00 89340.43 -1.91 1.14 230.47 0.00 0.00
2000 1 1 11 -1.34 0.00 89285.29 -1.79 1.15 230.47 0.00 0.00
2000 1 1 12 -1.60 0.00 89230.16 -1.68 1.16 234.17 0.00 0.00
2000 1 1 13 -1.57 0.00 89253.68 -1.61 1.32 234.17 0.00 0.00
2000 1 1 14 -1.55 0.00 89277.16 -1.55 1.48 234.17 0.00 0.00
2000 1 1 15 -1.52 0.00 89300.65 -1.48 1.64 247.45 0.00 0.00
2000 1 1 16 -0.16 0.00 89148.96 -1.30 1.35 247.44 0.00 0.00
2000 1 1 17 1.20 0.00 88997.30 -1.12 1.07 247.44 0.00 0.00
2000 1 1 18 2.56 0.00 88845.63 -0.93 0.78 257.53 0.00 0.00
2000 1 1 19 3.39 0.00 88795.06 -0.88 0.32 257.53 0.00 0.00
2000 1 1 20 4.21 0.00 88744.47 -0.83 -0.14 257.53 0.00 0.00
2000 1 1 21 5.04 0.00 88693.90 -0.79 -0.59 255.17 0.00 0.00
2000 1 1 22 3.55 0.00 88760.56 -0.93 -1.28 255.18 0.00 0.00
2000 1 1 23 2.06 0.00 88827.21 -1.07 -1.96 255.18 0.00 0.00
2000 1 2 0 0.56 0.00 88893.91 -1.21 -2.65 222.92 0.00 0.00
2000 1 2 1 -0.10 0.00 89025.15 -0.70 -2.49 222.92 0.00 0.00
2000 1 2 2 -0.77 0.00 89156.40 -0.19 -2.34 222.92 0.00 0.00
